g = [('b', -3), ('a', -1), ('b', -1), ('a', 3), ('b', 1), ('a', 3), ('b', 3), ('a', 1), ('b', -1), ('a', 2)] n=9, fixed words = 15687
g = [('b', 3), ('a', -1), ('b', 1), ('a', -2), ('b', 1), ('a', -3), ('b', -2), ('a', 1), ('b', 1), ('a', 3)] n=9, fixed words = 15687
g = [('b', 2), ('a', -1), ('b', -2), ('a', -2), ('b', 2), ('a', -1), ('b', -2), ('a', -2), ('b', -1), ('a', -1)] n=9, fixed words = 15687
g = [('b', 3), ('a', -3), ('b', 3), ('a', -2), ('b', 3), ('a', 1), ('b', -1), ('a', -2), ('b', 2), ('a', -2)] n=9, fixed words = 15687
g = [('a', -3), ('b', 1), ('a', 1), ('b', -3), ('a', -3), ('b', -3), ('a', 3), ('b', -1), ('a', 2), ('b', 3)] n=9, fixed words = 19089
g = [('b', 1), ('a', -2), ('b', -3), ('a', 1), ('b', -2), ('a', 2), ('b', -3), ('a', 3), ('b', -1), ('a', -1)] n=9, fixed words = 17091
g = [('b', -1), ('a', 1), ('b', 1), ('a', 1), ('b', 1), ('a', 1), ('b', -2), ('a', 3), ('b', -3), ('a', -1)] n=9, fixed words = 15687
g = [('a', 2), ('b', 3), ('a', 1), ('b', 1), ('a', -1), ('b', -3), ('a', 3), ('b', -2), ('a', 2), ('b', -3)] n=9, fixed words = 15687
g = [('a', -1), ('b', -1), ('a', -1), ('b', -1), ('a', 1), ('b', 2), ('a', 2), ('b', 1), ('a', -1), ('b', 2)] n=9, fixed words = 19089
g = [('b', -3), ('a', -3), ('b', -1), ('a', 3), ('b', -3), ('a', 1), ('b', -1), ('a', -3), ('b', -3), ('a', 2)] n=9, fixed words = 17604
g = [('a', -3), ('b', -3), ('a', 3), ('b', 3), ('a', 3), ('b', -3), ('a', -1), ('b', 3), ('a', -1), ('b', 2)] n=9, fixed words = 15687
g = [('a', -2), ('b', 1), ('a', 2), ('b', 3), ('a', 3), ('b', 2), ('a', -2), ('b', 3), ('a', 2), ('b', 3)] n=9, fixed words = 18603
g = [('a', -3), ('b', -3), ('a', -3), ('b', 3), ('a', 1), ('b', 2), ('a', 1), ('b', -2), ('a', 1), ('b', -3)] n=9, fixed words = 18603
g = [('b', -1), ('a', -1), ('b', -3), ('a', -2), ('b', 1), ('a', 3), ('b', -3), ('a', 1), ('b', -3), ('a', 3)] n=9, fixed words = 17550
g = [('b', 3), ('a', -3), ('b', 3), ('a', 2), ('b', 1), ('a', -1), ('b', -3), ('a', -1), ('b', -1), ('a', -2)] n=9, fixed words = 17145
g = [('a', -2), ('b', -2), ('a', 1), ('b', -3), ('a', -3), ('b', -2), ('a', -1), ('b', 3), ('a', 3), ('b', 1)] n=9, fixed words = 17091
g = [('a', -1), ('b', -3), ('a', 1), ('b', -3), ('a', -3), ('b', -1), ('a', -3), ('b', -1), ('a', 3), ('b', -1)] n=9, fixed words = 19116
g = [('b', 1), ('a', 1), ('b', -1), ('a', 3), ('b', 2), ('a', -3), ('b', -3), ('a', 3), ('b', -3), ('a', 1)] n=9, fixed words = 15687
g = [('b', -2), ('a', -1), ('b', -1), ('a', 3), ('b', 1), ('a', 2), ('b', -3), ('a', 2), ('b', 2), ('a', -2)] n=9, fixed words = 17145
g = [('b', -3), ('a', -2), ('b', 2), ('a', -1), ('b', 2), ('a', 2), ('b', -1), ('a', 1), ('b', -1), ('a', -2)] n=9, fixed words = 15687
g = [('a', 2), ('b', -2), ('a', 3), ('b', -2), ('a', 1), ('b', -3), ('a', -1), ('b', 3), ('a', -1), ('b', 3)] n=9, fixed words = 15687
g = [('b', -3), ('a', 1), ('b', 1), ('a', -2), ('b', -1), ('a', 3), ('b', -2), ('a', -1), ('b', 3), ('a', 3)] n=9, fixed words = 15687
g = [('a', 3), ('b', 2), ('a', -1), ('b', -2), ('a', 3), ('b', 2), ('a', 1), ('b', 3), ('a', -2), ('b', -2)] n=9, fixed words = 17145
g = [('a', 3), ('b', 2), ('a', -1), ('b', -1), ('a', 3), ('b', 3), ('a', -2), ('b', -2), ('a', 1), ('b', 2)] n=9, fixed words = 15687
g = [('b', -2), ('a', -3), ('b', -3), ('a', -3), ('b', 2), ('a', -3), ('b', -2), ('a', 3), ('b', -3), ('a', -3)] n=9, fixed words = 17550
g = [('b', 3), ('a', -2), ('b', 3), ('a', 2), ('b', -2), ('a', -1), ('b', -1), ('a', 2), ('b', -3), ('a', 2)] n=9, fixed words = 19089
g = [('b', 2), ('a', 1), ('b', 1), ('a', -2), ('b', 2), ('a', -1), ('b', -3), ('a', 2), ('b', -1), ('a', 2)] n=9, fixed words = 15687
g = [('a', 1), ('b', -1), ('a', -3), ('b', -3), ('a', -1), ('b', 2), ('a', 2), ('b', -3), ('a', 1), ('b', -2)] n=9, fixed words = 17631
g = [('a', 1), ('b', -1), ('a', 3), ('b', 2), ('a', -3), ('b', -1), ('a', 2), ('b', 3), ('a', 1), ('b', 1)] n=9, fixed words = 15687
g = [('b', -3), ('a', 3), ('b', 1), ('a', -1), ('b', 3), ('a', 1), ('b', -3), ('a', 1), ('b', -1), ('a', -3)] n=9, fixed words = 17145
g = [('b', -1), ('a', 1), ('b', -2), ('a', 3), ('b', 2), ('a', -2), ('b', 1), ('a', -2), ('b', 2), ('a', 3)] n=9, fixed words = 17118
g = [('a', 1), ('b', -1), ('a', -1), ('b', -1), ('a', 2), ('b', 2), ('a', 3), ('b', -1), ('a', -3), ('b', -2)] n=9, fixed words = 17091
g = [('b', 2), ('a', 3), ('b', -2), ('a', 2), ('b', -1), ('a', 1), ('b', 3), ('a', 3), ('b', -2), ('a', -3)] n=9, fixed words = 19089
g = [('b', -1), ('a', 3), ('b', -2), ('a', -1), ('b', -1), ('a', -2), ('b', -2), ('a', -2), ('b', -2), ('a', -2)] n=9, fixed words = 15687
g = [('a', 2), ('b', -2), ('a', 3), ('b', 1), ('a', -1), ('b', 1), ('a', -2), ('b', -1), ('a', -1), ('b', 1)] n=9, fixed words = 17631
g = [('b', -3), ('a', -3), ('b', 2), ('a', -3), ('b', -3), ('a', -1), ('b', 3), ('a', -3), ('b', 1), ('a', 2)] n=9, fixed words = 17604
g = [('a', 3), ('b', -3), ('a', 3), ('b', 1), ('a', 3), ('b', 2), ('a', -3), ('b', -2), ('a', 1), ('b', 2)] n=9, fixed words = 17631
g = [('b', 2), ('a', 2), ('b', 3), ('a', -3), ('b', 3), ('a', 1), ('b', 1), ('a', 2), ('b', -2), ('a', -2)] n=9, fixed words = 17631
g = [('b', 2), ('a', -3), ('b', 3), ('a', -1), ('b', -2), ('a', -2), ('b', 3), ('a', 1), ('b', 3), ('a', 1)] n=9, fixed words = 17550
g = [('b', 1), ('a', 1), ('b', 3), ('a', -3), ('b', -1), ('a', 3), ('b', 2), ('a', 2), ('b', -1), ('a', -2)] n=9, fixed words = 15687
g = [('a', 2), ('b', 1), ('a', 2), ('b', 3), ('a', 3), ('b', -1), ('a', -1), ('b', 1), ('a', -1), ('b', -1)] n=9, fixed words = 17118
g = [('b', 3), ('a', -2), ('b', -2), ('a', -2), ('b', 1), ('a', 2), ('b', -2), ('a', 3), ('b', -3), ('a', -3)] n=9, fixed words = 17091
g = [('b', 3), ('a', 3), ('b', 3), ('a', -1), ('b', -2), ('a', 3), ('b', 1), ('a', -1), ('b', 2), ('a', -1)] n=9, fixed words = 17118
g = [('a', -2), ('b', 3), ('a', -2), ('b', -2), ('a', -3), ('b', 1), ('a', 1), ('b', 3), ('a', 2), ('b', 1)] n=9, fixed words = 17145
g = [('b', -3), ('a', -1), ('b', -2), ('a', 1), ('b', 2), ('a', -2), ('b', 2), ('a', 2), ('b', 2), ('a', -3)] n=9, fixed words = 17091
g = [('b', 1), ('a', 3), ('b', -1), ('a', 1), ('b', 3), ('a', -2), ('b', -2), ('a', 3), ('b', 3), ('a', 2)] n=9, fixed words = 15687
g = [('b', 2), ('a', -3), ('b', -1), ('a', 2), ('b', -3), ('a', 2), ('b', -3), ('a', -1), ('b', -1), ('a', 1)] n=9, fixed words = 17145
g = [('a', -2), ('b', -2), ('a', -3), ('b', 1), ('a', -2), ('b', -3), ('a', 1), ('b', 1), ('a', -2), ('b', 1)] n=9, fixed words = 15687
g = [('b', 3), ('a', 3), ('b', 2), ('a', -2), ('b', -1), ('a', -2), ('b', 3), ('a', -2), ('b', -1), ('a', -3)] n=9, fixed words = 18603
g = [('b', 3), ('a', 2), ('b', -3), ('a', 2), ('b', -1), ('a', -2), ('b', 3), ('a', 2), ('b', 1), ('a', 1)] n=9, fixed words = 17145
g = [('b', -3), ('a', -2), ('b', 3), ('a', 2), ('b', 3), ('a', -3), ('b', 1), ('a', -2), ('b', 2), ('a', -1)] n=9, fixed words = 18603
g = [('b', 3), ('a', 3), ('b', 2), ('a', -3), ('b', -2), ('a', -2), ('b', -1), ('a', -1), ('b', 1), ('a', 2)] n=9, fixed words = 17145
g = [('b', -3), ('a', 3), ('b', -3), ('a', -2), ('b', 2), ('a', -1), ('b', -1), ('a', -1), ('b', -2), ('a', -1)] n=9, fixed words = 15687
g = [('a', 1), ('b', -2), ('a', 3), ('b', 1), ('a', 1), ('b', 1), ('a', 1), ('b', 2), ('a', -1), ('b', 3)] n=9, fixed words = 15687
g = [('b', -3), ('a', -2), ('b', 2), ('a', -1), ('b', 2), ('a', 1), ('b', 3), ('a', -1), ('b', 2), ('a', -1)] n=9, fixed words = 17145
g = [('a', 2), ('b', -2), ('a', 2), ('b', 2), ('a', 2), ('b', 1), ('a', -2), ('b', 3), ('a', -1), ('b', 1)] n=9, fixed words = 17091
g = [('a', 3), ('b', -3), ('a', -3), ('b', -1), ('a', 2), ('b', -1), ('a', 1), ('b', 1), ('a', -1), ('b', -3)] n=9, fixed words = 15687
g = [('b', -2), ('a', 3), ('b', -1), ('a', 2), ('b', 1), ('a', -3), ('b', -2), ('a', -3), ('b', -2), ('a', 2)] n=9, fixed words = 17145
g = [('a', 3), ('b', -2), ('a', -1), ('b', 3), ('a', 1), ('b', 2), ('a', 1), ('b', 2), ('a', -2), ('b', 2)] n=9, fixed words = 15687
g = [('b', 2), ('a', 2), ('b', -3), ('a', -2), ('b', -3), ('a', -2), ('b', -1), ('a', 2), ('b', 1), ('a', 1)] n=9, fixed words = 15687
g = [('a', -1), ('b', -3), ('a', 3), ('b', 3), ('a', 2), ('b', -3), ('a', -3), ('b', -2), ('a', -2), ('b', -2)] n=9, fixed words = 15687
g = [('b', 1), ('a', -2), ('b', 2), ('a', 3), ('b', -1), ('a', -3), ('b', -1), ('a', 3), ('b', -1), ('a', 1)] n=9, fixed words = 17604
g = [('a', 3), ('b', 1), ('a', -1), ('b', 2), ('a', -3), ('b', -2), ('a', 2), ('b', -1), ('a', 3), ('b', -2)] n=9, fixed words = 15687
g = [('b', 2), ('a', 2), ('b', 2), ('a', -1), ('b', 2), ('a', 2), ('b', 2), ('a', -2), ('b', -3), ('a', -2)] n=9, fixed words = 15687
g = [('b', 1), ('a', -2), ('b', -3), ('a', 3), ('b', -3), ('a', 3), ('b', 1), ('a', -2), ('b', -3), ('a', -3)] n=9, fixed words = 15687
g = [('a', 2), ('b', 1), ('a', 2), ('b', -3), ('a', -2), ('b', 1), ('a', 1), ('b', -1), ('a', -3), ('b', -2)] n=9, fixed words = 17631
g = [('b', 2), ('a', -2), ('b', -1), ('a', 3), ('b', -1), ('a', 1), ('b', 1), ('a', 1), ('b', 3), ('a', 3)] n=9, fixed words = 17091
g = [('a', 3), ('b', -1), ('a', -2), ('b', -3), ('a', -1), ('b', -3), ('a', -3), ('b', 2), ('a', -2), ('b', 2)] n=9, fixed words = 17145
g = [('b', -3), ('a', -1), ('b', 1), ('a', -3), ('b', 3), ('a', -3), ('b', -3), ('a', -3), ('b', -3), ('a', 1)] n=9, fixed words = 17550
g = [('b', -3), ('a', -3), ('b', 1), ('a', 3), ('b', -1), ('a', -3), ('b', 3), ('a', 1), ('b', 1), ('a', -1)] n=9, fixed words = 17145
g = [('b', 3), ('a', -2), ('b', 2), ('a', -2), ('b', 1), ('a', 1), ('b', 2), ('a', -1), ('b', 2), ('a', -1)] n=9, fixed words = 15687
g = [('b', 1), ('a', -1), ('b', -2), ('a', 3), ('b', -1), ('a', 2), ('b', -3), ('a', 2), ('b', 2), ('a', 3)] n=9, fixed words = 19116
g = [('b', 3), ('a', -3), ('b', -1), ('a', -2), ('b', -2), ('a', 1), ('b', 1), ('a', 2), ('b', 3), ('a', 3)] n=9, fixed words = 15687
g = [('b', 1), ('a', 1), ('b', -1), ('a', 1), ('b', 1), ('a', 3), ('b', 2), ('a', 3), ('b', -2), ('a', -3)] n=9, fixed words = 15687
g = [('a', -3), ('b', 2), ('a', 3), ('b', -2), ('a', -3), ('b', 1), ('a', 3), ('b', -1), ('a', 3), ('b', -1)] n=9, fixed words = 17145
g = [('b', 1), ('a', 3), ('b', 2), ('a', 1), ('b', -2), ('a', -3), ('b', -1), ('a', -2), ('b', 3), ('a', -1)] n=9, fixed words = 17145
g = [('a', 2), ('b', -1), ('a', -3), ('b', -2), ('a', -2), ('b', 2), ('a', 1), ('b', 1), ('a', -1), ('b', 1)] n=9, fixed words = 17145
g = [('a', 3), ('b', -2), ('a', 1), ('b', 3), ('a', 3), ('b', -3), ('a', -1), ('b', 2), ('a', 1), ('b', -2)] n=9, fixed words = 15687
g = [('b', -1), ('a', -2), ('b', -2), ('a', 1), ('b', 3), ('a', -2), ('b', -2), ('a', 1), ('b', -3), ('a', -3)] n=9, fixed words = 15687
g = [('a', -2), ('b', -1), ('a', -2), ('b', 2), ('a', -3), ('b', -2), ('a', 2), ('b', 1), ('a', 3), ('b', -3)] n=9, fixed words = 17145
g = [('a', -2), ('b', -3), ('a', -1), ('b', 1), ('a', 3), ('b', -1), ('a', 1), ('b', -1), ('a', 2), ('b', 1)] n=9, fixed words = 18603
g = [('a', -3), ('b', 2), ('a', 3), ('b', 2), ('a', 2), ('b', -3), ('a', 1), ('b', -3), ('a', 1), ('b', 1)] n=9, fixed words = 15687
g = [('b', 3), ('a', 2), ('b', 3), ('a', 2), ('b', -3), ('a', 2), ('b', -3), ('a', -2), ('b', 3), ('a', -1)] n=9, fixed words = 18711
g = [('b', -1), ('a', 3), ('b', 2), ('a', -2), ('b', -2), ('a', -2), ('b', 3), ('a', -2), ('b', 1), ('a', 3)] n=9, fixed words = 19089
g = [('b', 1), ('a', 3), ('b', -1), ('a', 2), ('b', -3), ('a', 2), ('b', 1), ('a', -2), ('b', 2), ('a', 3)] n=9, fixed words = 17604
g = [('b', -1), ('a', -3), ('b', -3), ('a', 2), ('b', 2), ('a', -2), ('b', -1), ('a', -2), ('b', 2), ('a', 3)] n=9, fixed words = 15687
g = [('a', 3), ('b', 3), ('a', 3), ('b', -3), ('a', -3), ('b', -1), ('a', 1), ('b', -2), ('a', 2), ('b', -2)] n=9, fixed words = 17145
g = [('a', -3), ('b', -3), ('a', -1), ('b', 2), ('a', 2), ('b', -3), ('a', 3), ('b', -3), ('a', 3), ('b', 2)] n=9, fixed words = 15687
g = [('a', -1), ('b', 2), ('a', -1), ('b', 1), ('a', 2), ('b', 3), ('a', 2), ('b', 1), ('a', -2), ('b', 2)] n=9, fixed words = 19494
g = [('a', 2), ('b', 2), ('a', 1), ('b', -2), ('a', 2), ('b', 3), ('a', 2), ('b', -2), ('a', 1), ('b', 1)] n=9, fixed words = 15687
g = [('a', -3), ('b', 2), ('a', -2), ('b', 3), ('a', -1), ('b', -2), ('a', 2), ('b', -3), ('a', 1), ('b', -3)] n=9, fixed words = 18711
g = [('b', -2), ('a', -3), ('b', -2), ('a', 1), ('b', 3), ('a', -2), ('b', -2), ('a', 1), ('b', 1), ('a', 1)] n=9, fixed words = 15687
g = [('a', -1), ('b', 2), ('a', -1), ('b', -3), ('a', 3), ('b', 3), ('a', 1), ('b', 3), ('a', 3), ('b', -2)] n=9, fixed words = 17145
g = [('a', -2), ('b', 1), ('a', 3), ('b', 1), ('a', 3), ('b', -2), ('a', -1), ('b', 2), ('a', 1), ('b', 3)] n=9, fixed words = 15687
g = [('b', 2), ('a', 2), ('b', 1), ('a', -2), ('b', -2), ('a', 3), ('b', -1), ('a', 3), ('b', 1), ('a', 3)] n=9, fixed words = 17550
g = [('b', -3), ('a', 1), ('b', 3), ('a', -3), ('b', 3), ('a', 3), ('b', -3), ('a', 2), ('b', 1), ('a', 2)] n=9, fixed words = 15687
g = [('a', -2), ('b', 3), ('a', -3), ('b', -3), ('a', -2), ('b', 3), ('a', -3), ('b', 3), ('a', 1), ('b', -2)] n=9, fixed words = 17550
g = [('a', -3), ('b', -3), ('a', 1), ('b', -1), ('a', 2), ('b', 1), ('a', -1), ('b', 1), ('a', 3), ('b', -1)] n=9, fixed words = 17145
g = [('b', 2), ('a', -2), ('b', -1), ('a', 3), ('b', -3), ('a', 2), ('b', -3), ('a', 2), ('b', -1), ('a', 3)] n=9, fixed words = 17118
g = [('b', 1), ('a', -1), ('b', -2), ('a', 1), ('b', -1), ('a', -1), ('b', -2), ('a', 1), ('b', 3), ('a', 3)] n=9, fixed words = 17145
g = [('b', -3), ('a', -1), ('b', -2), ('a', 1), ('b', -2), ('a', 1), ('b', 2), ('a', 2), ('b', 1), ('a', 3)] n=9, fixed words = 17091
g = [('b', 1), ('a', 3), ('b', 2), ('a', 3), ('b', 1), ('a', -2), ('b', -3), ('a', 1), ('b', 2), ('a', 3)] n=9, fixed words = 17145
g = [('a', -2), ('b', 2), ('a', 2), ('b', 1), ('a', -1), ('b', -2), ('a', 2), ('b', -3), ('a', 1), ('b', -1)] n=9, fixed words = 17145
g = [('b', 1), ('a', 2), ('b', -1), ('a', 1), ('b', 3), ('a', 2), ('b', 3), ('a', 2), ('b', 2), ('a', -1)] n=9, fixed words = 17091
g = [('a', -1), ('b', -2), ('a', 1), ('b', 2), ('a', -2), ('b', 3), ('a', 1), ('b', 2), ('a', -2), ('b', 3)] n=9, fixed words = 17145
g = [('b', -2), ('a', 1), ('b', 1), ('a', -1), ('b', -2), ('a', 1), ('b', 2), ('a', 3), ('b', 2), ('a', 1)] n=9, fixed words = 15687
g = [('a', -2), ('b', -1), ('a', 1), ('b', 2), ('a', -2), ('b', 1), ('a', -2), ('b', 3), ('a', 1), ('b', -1)] n=9, fixed words = 15687
g = [('b', 2), ('a', 3), ('b', 2), ('a', -3), ('b', -1), ('a', 2), ('b', 2), ('a', -2), ('b', -3), ('a', 2)] n=9, fixed words = 15687
g = [('b', 2), ('a', 2), ('b', 1), ('a', -3), ('b', -2), ('a', -3), ('b', -1), ('a', 1), ('b', -3), ('a', 3)] n=9, fixed words = 19089
g = [('b', -1), ('a', 3), ('b', 3), ('a', 2), ('b', -2), ('a', 1), ('b', 1), ('a', 1), ('b', 2), ('a', -2)] n=9, fixed words = 17091
g = [('a', 3), ('b', -1), ('a', 2), ('b', -2), ('a', -3), ('b', -3), ('a', 2), ('b', 1), ('a', 2), ('b', 1)] n=9, fixed words = 17118
g = [('a', -3), ('b', -2), ('a', 1), ('b', 2), ('a', -2), ('b', 1), ('a', -2), ('b', -3), ('a', 2), ('b', 2)] n=9, fixed words = 17604
g = [('b', 1), ('a', 2), ('b', -3), ('a', 1), ('b', -2), ('a', 2), ('b', -3), ('a', -1), ('b', -1), ('a', -3)] n=9, fixed words = 15687
g = [('b', -1), ('a', -1), ('b', -3), ('a', 2), ('b', 2), ('a', 1), ('b', 1), ('a', -2), ('b', 1), ('a', -2)] n=9, fixed words = 17577
g = [('a', -1), ('b', 3), ('a', 1), ('b', 3), ('a', -1), ('b', 2), ('a', 1), ('b', 2), ('a', -2), ('b', 1)] n=9, fixed words = 15687
g = [('a', 2), ('b', -1), ('a', -3), ('b', 3), ('a', 2), ('b', -1), ('a', -1), ('b', -2), ('a', 2), ('b', 1)] n=9, fixed words = 17577
g = [('a', -1), ('b', 3), ('a', 3), ('b', 2), ('a', -2), ('b', -3), ('a', -3), ('b', -2), ('a', -1), ('b', -3)] n=9, fixed words = 17118
g = [('b', -3), ('a', 1), ('b', -1), ('a', 3), ('b', 2), ('a', -2), ('b', 3), ('a', 3), ('b', -1), ('a', -3)] n=9, fixed words = 17604
g = [('b', -1), ('a', 1), ('b', 3), ('a', -3), ('b', 1), ('a', -1), ('b', 3), ('a', -2), ('b', -2), ('a', -1)] n=9, fixed words = 17118
g = [('a', -1), ('b', -2), ('a', -3), ('b', 3), ('a', -1), ('b', 2), ('a', -1), ('b', 3), ('a', -2), ('b', 1)] n=9, fixed words = 15687
g = [('b', -1), ('a', -2), ('b', -2), ('a', -1), ('b', 1), ('a', -2), ('b', 2), ('a', -3), ('b', 1), ('a', 1)] n=9, fixed words = 15687
g = [('a', -1), ('b', 2), ('a', 1), ('b', 3), ('a', 1), ('b', 2), ('a', 1), ('b', -3), ('a', 2), ('b', -2)] n=9, fixed words = 15687
g = [('b', -1), ('a', 2), ('b', 3), ('a', 1), ('b', 1), ('a', 1), ('b', 1), ('a', 2), ('b', 2), ('a', -2)] n=9, fixed words = 17118
g = [('b', -2), ('a', 2), ('b', -1), ('a', 1), ('b', 3), ('a', -1), ('b', -1), ('a', -3), ('b', 2), ('a', 2)] n=9, fixed words = 15687
g = [('a', -3), ('b', -1), ('a', -1), ('b', -2), ('a', 3), ('b', 1), ('a', -1), ('b', 2), ('a', 1), ('b', -3)] n=9, fixed words = 17091
g = [('a', -3), ('b', -3), ('a', 2), ('b', -1), ('a', 2), ('b', -1), ('a', -2), ('b', 1), ('a', 2), ('b', -2)] n=9, fixed words = 17091
g = [('a', -3), ('b', -3), ('a', -2), ('b', 3), ('a', -1), ('b', -3), ('a', 3), ('b', 2), ('a', -3), ('b', -2)] n=9, fixed words = 18711
g = [('a', 3), ('b', -3), ('a', -3), ('b', 1), ('a', 3), ('b', -3), ('a', -1), ('b', 2), ('a', 2), ('b', 3)] n=9, fixed words = 17604
g = [('b', 2), ('a', 3), ('b', 2), ('a', -1), ('b', -2), ('a', 2), ('b', 3), ('a', -2), ('b', 2), ('a', -2)] n=9, fixed words = 17631
g = [('b', -1), ('a', 2), ('b', 1), ('a', -1), ('b', 2), ('a', -2), ('b', 1), ('a', -2), ('b', -1), ('a', 3)] n=9, fixed words = 17577
g = [('b', -1), ('a', 1), ('b', -1), ('a', -2), ('b', 1), ('a', -1), ('b', -3), ('a', -1), ('b', 2), ('a', -2)] n=9, fixed words = 15687
g = [('a', -3), ('b', 1), ('a', -2), ('b', 1), ('a', -3), ('b', 3), ('a', -3), ('b', 2), ('a', 1), ('b', 2)] n=9, fixed words = 17550
g = [('b', -1), ('a', 3), ('b', -3), ('a', -1), ('b', -2), ('a', 2), ('b', 3), ('a', 2), ('b', -3), ('a', 2)] n=9, fixed words = 17145
g = [('a', 3), ('b', 3), ('a', -3), ('b', 3), ('a', -1), ('b', 3), ('a', -1), ('b', 1), ('a', -2), ('b', -3)] n=9, fixed words = 15687
g = [('b', -2), ('a', -1), ('b', -3), ('a', -3), ('b', 2), ('a', 1), ('b', 3), ('a', 2), ('b', -3), ('a', -3)] n=9, fixed words = 17145
g = [('a', -3), ('b', 1), ('a', -3), ('b', 1), ('a', -2), ('b', 1), ('a', -2), ('b', -3), ('a', -2), ('b', -3)] n=9, fixed words = 18603
g = [('b', 2), ('a', 1), ('b', -3), ('a', -1), ('b', 2), ('a', -3), ('b', 3), ('a', -2), ('b', 2), ('a', 1)] n=9, fixed words = 17118
g = [('b', 2), ('a', -2), ('b', -2), ('a', 2), ('b', 3), ('a', -3), ('b', 3), ('a', -2), ('b', 2), ('a', -1)] n=9, fixed words = 17145
g = [('b', 3), ('a', -2), ('b', 2), ('a', 1), ('b', 1), ('a', 1), ('b', 1), ('a', -2), ('b', 1), ('a', 3)] n=9, fixed words = 15687
g = [('a', 1), ('b', 2), ('a', 1), ('b', 2), ('a', 2), ('b', -1), ('a', -2), ('b', -2), ('a', 1), ('b', -3)] n=9, fixed words = 17145
g = [('a', 2), ('b', -1), ('a', 1), ('b', 1), ('a', -2), ('b', 2), ('a', 2), ('b', -2), ('a', -1), ('b', -1)] n=9, fixed words = 15687
g = [('b', 2), ('a', 3), ('b', 3), ('a', -2), ('b', 2), ('a', -1), ('b', 2), ('a', -3), ('b', 1), ('a', 2)] n=9, fixed words = 15687
g = [('a', -3), ('b', 1), ('a', 3), ('b', 1), ('a', -1), ('b', 1), ('a', 2), ('b', 2), ('a', 3), ('b', -3)] n=9, fixed words = 15687
g = [('a', 2), ('b', 1), ('a', -3), ('b', 3), ('a', 1), ('b', 3), ('a', -1), ('b', -2), ('a', -1), ('b', 3)] n=9, fixed words = 15687
g = [('b', 3), ('a', 3), ('b', 3), ('a', -1), ('b', 2), ('a', 2), ('b', -2), ('a', -1), ('b', -2), ('a', -1)] n=9, fixed words = 15687
g = [('b', 1), ('a', -3), ('b', -3), ('a', 2), ('b', 2), ('a', -3), ('b', -3), ('a', 3), ('b', 3), ('a', -3)] n=9, fixed words = 17631
g = [('a', -3), ('b', -2), ('a', -2), ('b', 1), ('a', -2), ('b', 3), ('a', -3), ('b', -2), ('a', 2), ('b', 2)] n=9, fixed words = 15687
g = [('b', 2), ('a', -3), ('b', -3), ('a', 1), ('b', 3), ('a', -2), ('b', -1), ('a', -3), ('b', 2), ('a', -3)] n=9, fixed words = 17145
g = [('b', 1), ('a', 1), ('b', -1), ('a', 1), ('b', -2), ('a', -2), ('b', 1), ('a', -2), ('b', 1), ('a', -1)] n=9, fixed words = 19089
g = [('a', 2), ('b', -3), ('a', -1), ('b', -2), ('a', -3), ('b', -2), ('a', 2), ('b', -2), ('a', -1), ('b', 3)] n=9, fixed words = 17145
g = [('a', 3), ('b', -3), ('a', 2), ('b', -1), ('a', -1), ('b', -2), ('a', 3), ('b', 1), ('a', 2), ('b', 1)] n=9, fixed words = 17496
g = [('a', -3), ('b', 1), ('a', -3), ('b', 3), ('a', -1), ('b', -3), ('a', -1), ('b', 2), ('a', -2), ('b', -3)] n=9, fixed words = 17604
g = [('b', -2), ('a', -1), ('b', 2), ('a', 1), ('b', -2), ('a', 3), ('b', 3), ('a', -2), ('b', 3), ('a', 1)] n=9, fixed words = 15687
g = [('b', 2), ('a', -3), ('b', -1), ('a', 2), ('b', 3), ('a', -2), ('b', -2), ('a', 2), ('b', -1), ('a', 2)] n=9, fixed words = 15687
g = [('a', -3), ('b', -2), ('a', -3), ('b', 1), ('a', -3), ('b', -2), ('a', 1), ('b', -1), ('a', 1), ('b', 1)] n=9, fixed words = 17118
g = [('a', 2), ('b', 3), ('a', 3), ('b', 2), ('a', -1), ('b', 3), ('a', -1), ('b', -3), ('a', -3), ('b', -3)] n=9, fixed words = 17631
g = [('b', 2), ('a', 1), ('b', -2), ('a', 3), ('b', 2), ('a', -3), ('b', -1), ('a', 3), ('b', -2), ('a', -2)] n=9, fixed words = 15687
g = [('a', 3), ('b', 3), ('a', 2), ('b', -1), ('a', -3), ('b', -3), ('a', -2), ('b', -3), ('a', -2), ('b', -3)] n=9, fixed words = 15687
g = [('a', -2), ('b', -3), ('a', -1), ('b', 1), ('a', 1), ('b', 3), ('a', 3), ('b', -1), ('a', 3), ('b', -1)] n=9, fixed words = 15687
g = [('a', -2), ('b', -2), ('a', -1), ('b', 3), ('a', 3), ('b', -3), ('a', 2), ('b', -3), ('a', 2), ('b', -2)] n=9, fixed words = 15687
g = [('a', -1), ('b', 2), ('a', -3), ('b', -2), ('a', -1), ('b', 1), ('a', 3), ('b', -3), ('a', 3), ('b', -1)] n=9, fixed words = 17145
g = [('a', 1), ('b', 2), ('a', 1), ('b', 2), ('a', 3), ('b', -1), ('a', 2), ('b', 2), ('a', -3), ('b', 3)] n=9, fixed words = 15687
